,DayOfWeek,Date,Time,PdDistrict,Resolution,X,Y,Supervisor District,General Type,Distance,School Type,Sample num,Descript
73536,Monday,Fall,11,TENDERLOIN,"ARREST, BOOKED",-122.40984944165501,37.78327552025671,6,IND,far,Primary School,104413,1
78230,Wednesday,Spring,15,TENDERLOIN,"ARREST, BOOKED",-122.41550824278185,37.78165428060756,6,CDC,close,Pre-School,111106,2
67973,Sunday,Winter,10,TENDERLOIN,PSYCHOPATHIC CASE,-122.41198764359501,37.7850226622786,6,CDC,very close,Pre-School,96454,2
67732,Sunday,Spring,8,SOUTHERN,"ARREST, BOOKED",-122.41133956255699,37.7812707434494,6,IND,close,Primary School,96126,1
72889,Tuesday,Summer,15,TENDERLOIN,"ARREST, BOOKED",-122.410768766343,37.7832145190013,6,IND,close,Primary School,103467,1
76118,Monday,Spring,19,MISSION,NONE,-122.421696153978,37.762915738641794,8,CDC,close,Pre-School,108000,4
66231,Friday,Fall,20,SOUTHERN,"ARREST, BOOKED",-122.408595110869,37.7837069301545,6,IND,very far,Primary School,94019,0
74384,Monday,Spring,2,MISSION,"ARREST, BOOKED",-122.419515708406,37.7634292328496,9,CDC,far,Pre-School,105601,1
67989,Tuesday,Spring,20,TENDERLOIN,"ARREST, BOOKED",-122.409853729941,37.7833862379382,6,IND,far,Primary School,96473,1
82413,Thursday,Fall,17,PARK,"ARREST, BOOKED",-122.43581443641058,37.78194066621527,5,IND,close,High School,117446,4
82306,Thursday,Spring,7,TENDERLOIN,"ARREST, BOOKED",-122.41421780432242,37.783259329502506,6,CDC,close,Pre-School,117287,4
72763,Friday,Fall,15,CENTRAL,"ARREST, BOOKED",-122.40963635717199,37.790107712421396,3,IND,far,High School,103290,2
83646,Tuesday,Summer,16,PARK,"ARREST, BOOKED",-122.44778307055876,37.76995495034647,5,IND,close,High School,119334,0
78105,Tuesday,Winter,20,TENDERLOIN,"ARREST, BOOKED",-122.41015707391114,37.78429738433125,6,CDC,close,Pre-School,110911,2
