,DayOfWeek,Date,Time,PdDistrict,Resolution,X,Y,Supervisor District,General Type,Distance,School Type,Sample num,Descript
21857,Sunday,Summer,20,BAYVIEW,"ARREST, BOOKED",-122.390548002865,37.7280996602876,10,CDC,very far,Pre-School,31332,2
3493,Friday,Summer,1,BAYVIEW,"ARREST, BOOKED",-122.391434800433,37.7381270935013,10,CDC,far,Pre-School,4931,1
11043,Sunday,Winter,6,SOUTHERN,"ARREST, BOOKED",-122.41029351969,37.7822305870036,6,IND,far,Primary School,15929,1
19735,Friday,Summer,16,TENDERLOIN,"ARREST, BOOKED",-122.41340129915501,37.780906077687,6,IND,close,Primary School,28353,4
5106,Thursday,Summer,14,TENDERLOIN,"ARREST, BOOKED",-122.41367937688801,37.7809258336852,6,CDC,close,Pre-School,7378,2
12368,Tuesday,Fall,8,MISSION,NONE,-122.42861091340001,37.7632288973036,8,PS,very close,Primary School,17843,0
26579,Sunday,Summer,8,MISSION,"ARREST, BOOKED",-122.418137290509,37.7490413093679,9,PS,close,Pre-School,37957,1
21153,Saturday,Summer,15,PARK,"ARREST, BOOKED",-122.453512911126,37.7686969786551,5,IND,far,High School,30361,0
23494,Friday,Fall,8,PARK,"ARREST, BOOKED",-122.453563238036,37.7696403896003,5,IND,close,High School,33605,2
26788,Saturday,Fall,10,MISSION,"ARREST, BOOKED",-122.406604919508,37.7571580431915,9,PS,far,High School,38253,3
26451,Thursday,Spring,14,SOUTHERN,"ARREST, BOOKED",-122.411071423064,37.7817511307229,6,PS,close,High School,37781,0
2217,Thursday,Winter,21,RICHMOND,"ARREST, BOOKED",-122.44963603116501,37.7823043073506,2,CDC,very far,Pre-School,3121,0
28661,Monday,Spring,14,MISSION,"ARREST, BOOKED",-122.41965834371,37.7642205603745,9,PS,far,Primary School,40905,2
22246,Thursday,Spring,23,NORTHERN,"ARREST, BOOKED",-122.42812986551901,37.7814240041364,5,CDC,close,Pre-School,31860,1
18009,Tuesday,Summer,14,TENDERLOIN,"ARREST, BOOKED",-122.410768766343,37.7832145190013,6,IND,close,Primary School,25877,1
8500,Sunday,Winter,7,SOUTHERN,"ARREST, BOOKED",-122.406300138733,37.7755131129937,6,PS,close,Primary School,12256,0
12611,Monday,Summer,18,BAYVIEW,"ARREST, BOOKED",-122.395946406672,37.7217169543114,10,PS,far,Primary School,18186,0
14318,Saturday,Summer,2,SOUTHERN,"ARREST, BOOKED",-122.400473580152,37.7850290611875,6,CDC,close,Pre-School,20617,2
15495,Wednesday,Winter,8,TENDERLOIN,"ARREST, BOOKED",-122.41219255572099,37.781604574125204,6,PS,close,High School,22263,0
15726,Saturday,Winter,14,SOUTHERN,"ARREST, BOOKED",-122.411071423064,37.7817511307229,6,PS,close,High School,22599,4
12147,Thursday,Winter,2,CENTRAL,"ARREST, BOOKED",-122.418090766692,37.7861007451645,6,CDC,very far,Pre-School,17519,1
23051,Thursday,Spring,14,TENDERLOIN,"ARREST, BOOKED",-122.413893155951,37.782346520672995,6,CDC,very close,Pre-School,32979,1
27813,Wednesday,Fall,8,TENDERLOIN,"ARREST, BOOKED",-122.41285712652399,37.7855804361702,6,CDC,close,Pre-School,39698,1
29139,Wednesday,Summer,17,TENDERLOIN,"ARREST, BOOKED",-122.412249767634,37.782556330202,6,IND,very close,Primary School,41587,4
15920,Tuesday,Winter,13,MISSION,"ARREST, BOOKED",-122.40991630881001,37.7511443775426,9,IND,very close,Primary School,22895,4
26461,Wednesday,Winter,14,BAYVIEW,"ARREST, BOOKED",-122.39034672467501,37.734599353347704,10,PS,close,Primary School,37795,4
4613,Thursday,Spring,1,PARK,"ARREST, BOOKED",-122.44094958992599,37.7741190407726,5,CDC,close,Pre-School,6666,2
